,Skills,Domain
0,# This,"# belongs to, is type of, part of process"
1,Classic Applied Science,01 Application Priority Legends
2,Classic Techs,01 Application Priority Legends
3,Classic Techs - Still Important,01 Application Priority Legends
4,,01 Application Priority Legends
5,,01 Application Priority Legends
6,,01 Application Priority Legends
7,,01 Application Priority Legends
8,,01 Application Priority Legends
9,FastAPI,"API, Python Library"
10,Flasgger,"API, Python Library"
11,Applied Mathematics,Appied Sciences
12,Applied Physics,Appied Sciences
13,Applied Statistics,Appied Sciences
14,Aerospace,Application Domain
15,Agriculture ,Application Domain
16,Chemical,Application Domain
17,Credit Risk Modeling,Application Domain
18,Defense,Application Domain
19,Education,Application Domain
20,Energy,Application Domain
21,Environment,Application Domain
22,Finance,Application Domain
23,Healthcare,Application Domain
24,Human Resources,Application Domain
25,Insurance ,Application Domain
26,IoT,Application Domain
27,Legal & Commercial Services,Application Domain
28,Mobility,Application Domain
29,Pharma,Application Domain
30,Process Modeling / Mining,Application Domain
31,Production & QA,Application Domain
32,Real Estate,Application Domain
33,Retail,Application Domain
34,Security,Application Domain
35,Supply Chain,Application Domain
36,Transport - Mobility ,Application Domain
37,Explainable Artificial Intelligence (XAI),Artificial Intelligence (AI)
38,Backtrader,"Back Testing, Python Libraries"
39,Node.js,"Backend Web Framework, Javascript"
40,Flask,"Backend Web Framework, Python Library"
41,BigDL,Big Data
42,Hadoop,Big Data
43,Spark,Big Data
44,Practical Recommender Systems,"Book, Recommendation System"
45,Cloud,Cloud Computing
46,Solution Architechture,"Cloud Computing, Software Engineering"
47,Clean Code Principles ,Coding Practice
48,Code Review,Coding Practice
49,Large Code Project,Coding Practice
50,Refactoring,Coding Practice
51,Robust Code,Coding Practice
52,Unit Testing,Coding Practice
53,Version Control,Coding Practice
54,Stats.Stackexchange.com,"Community, Developer"
55,Facebook,"Community, Job Board"
56,Google Groups,"Community, Job Board, Code Issues"
57,Research Gate,"Community, Research"
58,Geometric Optimization,Computational Geometry
59,Excel,Computer Skills
60,Programing,Computer Skills
61,Freelancing,Contract
62,Mentoring,Contract
63,Filter Size,"Parameters, Convolutional Neural Network (CNN)"
64,n - Filters,"Parameters, Convolutional Neural Network (CNN)"
65,Parameters,Convolutional Neural Network (CNN)
66,Objects,"Concept, Convolutional Neural Network (CNN)"
67,Edges,"Concept, Convolutional Neural Network (CNN)"
68,Patterns,"Concept, Convolutional Neural Network (CNN)"
69,CNN - Concept,Convolutional Neural Network (CNN)
70,Images,"Concept, Convolutional Neural Network (CNN)"
71,Channels,Convolutional Neural Network (CNN)
72,Kernels / Filters,Convolutional Neural Network (CNN)
73,Pooling Layers,Convolutional Neural Network (CNN)
74,Padding,Convolutional Neural Network (CNN)
75,Flattened,Convolutional Neural Network (CNN)
76,Back Propagation,Deep Learning
77,Pearson's correlation ,Correlations
78,Crypto Wallet,Crypto Trading
79,KuCoin,Crypto Wallet
80,Analytics and Insights,Data Analysis
81,Analytics Reporting,Data Analysis
82,"Communicate trends, patterns, and predictions",Data Analysis
83,Data Mining,Data Analysis
84,Diagnostic and Predictive Analytics,Data Analysis
85,Segmentation / Context,Data Analysis
86,Statistical Tools / Tests,Data Analysis
87,Structured Data Mining,Data Analysis
88,UnStructured Data Mining,Data Analysis
89,Data Down Sampling,Data Augmentation
90,Data Extrapolation,Data Augmentation
91,Data Interpolation ,Data Augmentation
92,Data Upsampling,Data Augmentation
93,Datasets,Data Collection
94,Data Types,"Data Collection, Feature Extraction, Feature Engineering"
95,AWS DynamoDB,Data Engineering
96,BigQuery,Data Engineering
97,Designing and Maintaining Data Systems,Data Engineering
98,Develop policies for data governance,Data Engineering
99,Feature Extraction,Data Engineering
100,Kafka,Data Engineering
101,Logstash,Data Engineering
102,NoSQL Databases,Data Engineering
103,RDBMS,Data Engineering
104,Relational Databases,Data Engineering
105,Spark,Data Engineering
106,Time and space complexity analysis,Data Engineering
107,Mainframe ,Data Engineering / Software Engineering 
108,GraphQL,"Data Engineering, Analytics"
109,SQL,"Data Engineering, Analytics"
110,Elastic Search,"Data Engineering, Analytics, Information Retrieval, Search Engine, Elasticsearch, Distributed"
111,Data Augmentation,Data Preparations
112,Datasets Version Control ,Data Preparations
113,Splitting the Datasets ,Data Preparations
114,Combining Data,Data Processing
115,Data Cleansing,Data Processing
116,Data Normalization,Data Processing
117,Data Scaling,Data Processing
118,Data Transformation,Data Processing
